temperature,timestamp,cadence,distance,heart_rate,power,speed,altitude,latitude,longitude,slope,time_diff,acceleration,power_change_rate
24,2023-06-03 22:41:41,42.0,159.96,107.0,157.0,4.22,24.399999999999977,,,0.0,1.0,0.33399999999999963,-25.0
24,2023-06-03 22:41:42,42.0,164.59,108.0,157.0,4.63,24.399999999999977,,,0.0,1.0,0.41000000000000014,0.0
24,2023-06-03 22:41:43,48.0,169.63,110.0,209.0,5.036,24.399999999999977,39.84129994176328,116.42232994548976,0.0,1.0,0.4059999999999997,52.0
24,2023-06-03 22:42:55,53.0,169.63,111.0,201.0,5.363,24.200000000000045,39.841349981725216,116.42230999656022,0.0,72.0,0.004541666666666678,-0.1111111111111111
24,2023-06-03 22:42:56,56.0,175.49,112.0,172.0,5.58,24.200000000000045,39.84139993786812,116.42228996381164,0.0,1.0,0.21699999999999964,-29.0
24,2023-06-03 22:42:57,58.0,181.04,113.0,165.0,5.68,24.0,39.84144997783005,116.42227998934686,-3.603603603604434,1.0,0.09999999999999964,-7.0
24,2023-06-03 22:42:58,61.0,186.56,114.0,215.0,5.71,24.0,39.841499933972955,116.42227998934686,0.0,1.0,0.03000000000000025,50.0
24,2023-06-03 22:42:59,64.0,193.36,116.0,237.0,5.79,23.799999999999955,39.84155994839966,116.42227998934686,-2.941176470588899,1.0,0.08000000000000007,22.0
24,2023-06-03 22:43:00,65.0,200.15,116.0,164.0,5.99,23.600000000000023,39.84161996282637,116.42227998934686,-2.9455081001462746,1.0,0.20000000000000018,-73.0
24,2023-06-03 22:43:01,66.0,206.52,117.0,178.0,6.223,23.600000000000023,39.84167997725308,116.42227998934686,0.0,1.0,0.23299999999999965,14.0
24,2023-06-03 22:43:02,66.0,213.32,118.0,169.0,6.353,23.600000000000023,39.84173999167979,116.42227998934686,0.0,1.0,0.1299999999999999,-9.0
24,2023-06-03 22:43:03,67.0,218.84,118.0,150.0,6.38,23.600000000000023,39.84178994782269,116.42227998934686,0.0,1.0,0.027000000000000135,-19.0
24,2023-06-03 22:43:04,68.0,225.66,119.0,147.0,6.39,23.799999999999955,39.8418499622494,116.42228996381164,2.9325513196470965,1.0,0.009999999999999787,-3.0
24,2023-06-03 22:43:05,68.0,232.49,119.0,147.0,6.356,23.799999999999955,39.84190997667611,116.42227998934686,0.0,1.0,-0.03399999999999981,0.0
24,2023-06-03 22:43:06,68.0,238.01,120.0,147.0,6.32,24.0,39.84195993281901,116.42227998934686,3.623188405797937,1.0,-0.03599999999999959,0.0
24,2023-06-03 22:43:07,46.0,244.38,120.0,100.0,6.276,24.0,39.84201994724572,116.42227998934686,0.0,1.0,-0.04400000000000048,-47.0
24,2023-06-03 22:43:08,55.0,251.17,120.0,136.0,6.296,24.200000000000045,39.842079961672425,116.42227998934686,2.9455081001479484,1.0,0.020000000000000462,36.0
24,2023-06-03 22:43:09,64.0,258.0,121.0,127.0,6.323,24.200000000000045,39.84213997609913,116.42228996381164,0.0,1.0,0.027000000000000135,-9.0
24,2023-06-03 22:43:10,66.0,264.79,121.0,123.0,6.383,24.200000000000045,39.84219999052584,116.42228996381164,0.0,1.0,0.05999999999999961,-4.0
24,2023-06-03 22:43:11,68.0,270.31,121.0,107.0,6.45,24.399999999999977,39.842249946668744,116.42228996381164,3.6231884057958776,1.0,0.06700000000000017,-16.0
24,2023-06-03 22:43:12,69.0,276.83,121.0,110.0,6.52,24.399999999999977,39.842249946668744,116.42228996381164,0.0,1.0,0.0699999999999994,3.0
24,2023-06-03 22:43:13,70.0,283.43,121.0,105.0,6.6,24.600000000000023,39.842249946668744,116.42228996381164,3.030303030303709,1.0,0.08000000000000007,-5.0
24,2023-06-03 22:43:14,70.0,290.1,121.0,105.0,6.663,24.600000000000023,39.842249946668744,116.42228996381164,0.0,1.0,0.06300000000000061,0.0
24,2023-06-03 22:43:15,70.0,296.71,121.0,105.0,6.613,24.600000000000023,39.842249946668744,116.42228996381164,0.0,1.0,-0.04999999999999982,0.0
24,2023-06-03 22:43:16,0.0,305.86,121.0,0.0,6.6,24.799999999999955,39.84254993498325,116.42229993827641,2.1857923497260225,1.0,-0.013000000000000789,-105.0
24,2023-06-03 22:43:17,0.0,312.36,121.0,0.0,6.5,24.799999999999955,39.84254993498325,116.42229993827641,0.0,1.0,-0.09999999999999964,0.0
24,2023-06-03 22:43:18,60.0,318.91,121.0,75.0,6.553,24.799999999999955,39.84254993498325,116.42229993827641,0.0,1.0,0.052999999999999936,75.0
24,2023-06-03 22:43:19,60.0,327.34,120.0,75.0,6.516,24.600000000000023,39.84272997826338,116.42231997102499,-2.372479240805848,1.0,-0.03699999999999992,0.0
24,2023-06-03 22:43:20,60.0,332.86,120.0,75.0,6.58,24.399999999999977,39.84277993440628,116.42231997102499,-3.6231884057978996,1.0,0.06400000000000006,0.0
24,2023-06-03 22:43:21,0.0,338.38,120.0,0.0,6.513,24.200000000000045,39.842829974368215,116.42231997102499,-3.6231884057958776,1.0,-0.06700000000000017,-75.0
24,2023-06-03 22:43:22,0.0,345.17,120.0,0.0,6.41,23.799999999999955,39.84288998879492,116.42231997102499,-5.891016200295873,1.0,-0.10299999999999976,0.0
24,2023-06-03 22:43:23,66.0,351.67,120.0,188.0,6.296,23.600000000000023,39.8429499194026,116.42232994548976,-3.0769230769220277,1.0,-0.11399999999999988,188.0
24,2023-06-03 22:43:24,67.0,357.2,120.0,214.0,6.28,23.399999999999977,39.84299995936453,116.42232994548976,-3.6166365280297734,1.0,-0.016000000000000014,26.0
24,2023-06-03 22:43:25,67.0,363.99,120.0,202.0,6.236,23.399999999999977,39.84305997379124,116.42232994548976,0.0,1.0,-0.04400000000000048,-12.0
24,2023-06-03 22:43:26,67.0,370.21,120.0,202.0,6.22,23.399999999999977,39.84305997379124,116.42232994548976,0.0,1.0,-0.016000000000000014,0.0
24,2023-06-03 22:43:27,67.0,376.66,120.0,191.0,6.446,23.600000000000023,39.84305997379124,116.42232994548976,3.100775193799133,1.0,0.22599999999999998,-11.0
24,2023-06-03 22:43:28,69.0,383.38,120.0,156.0,6.723,23.799999999999955,39.84305997379124,116.42232994548976,2.976190476189474,1.0,0.27700000000000014,-35.0
24,2023-06-03 22:43:29,69.0,390.31,121.0,156.0,6.933,24.0,39.84305997379124,116.42232994548976,2.8860028860035394,1.0,0.20999999999999996,0.0
24,2023-06-03 22:43:30,72.0,400.73,121.0,149.0,6.946,24.0,39.843369936570525,116.42234997823834,0.0,1.0,0.0129999999999999,-7.0
24,2023-06-03 22:43:31,73.0,408.8,121.0,141.0,6.99,24.200000000000045,39.84343992546201,116.42234997823834,2.478314745973304,1.0,0.04400000000000048,-8.0
24,2023-06-03 22:43:32,75.0,416.45,121.0,132.0,7.096,24.200000000000045,39.84350999817252,116.42234997823834,0.0,1.0,0.10599999999999987,-9.0
24,2023-06-03 22:43:33,77.0,423.6,121.0,125.0,7.15,24.0,39.84350999817252,116.42234997823834,-2.79720279720342,1.0,0.05400000000000027,-7.0
24,2023-06-03 22:43:34,77.0,430.8,121.0,125.0,7.2,24.200000000000045,39.84350999817252,116.42234997823834,2.777777777778414,1.0,0.04999999999999982,0.0
24,2023-06-03 22:43:35,0.0,438.0,121.0,0.0,7.206,24.0,39.84350999817252,116.42234997823834,-2.777777777778414,1.0,0.006000000000000227,-125.0
24,2023-06-03 22:43:36,0.0,445.19,121.0,0.0,7.186,24.0,39.84350999817252,116.42234997823834,0.0,1.0,-0.020000000000000462,0.0
24,2023-06-03 22:43:37,0.0,452.31,121.0,0.0,7.12,24.0,39.84350999817252,116.42234997823834,0.0,1.0,-0.06599999999999984,0.0
24,2023-06-03 22:43:38,0.0,458.52,120.0,0.0,6.983,24.0,39.84387997537851,116.42235995270312,0.0,1.0,-0.13700000000000045,0.0
24,2023-06-03 22:43:39,0.0,465.32,120.0,0.0,6.836,24.0,39.84393998980522,116.42235995270312,0.0,1.0,-0.14699999999999935,0.0
24,2023-06-03 22:43:40,0.0,472.14,119.0,0.0,6.676,24.0,39.8439999204129,116.42236992716789,0.0,1.0,-0.16000000000000014,0.0
24,2023-06-03 22:43:41,0.0,478.51,118.0,0.0,6.533,24.0,39.844059934839606,116.42236992716789,0.0,1.0,-0.1429999999999998,0.0
24,2023-06-03 22:43:42,0.0,483.18,118.0,0.0,6.293,24.200000000000045,39.844099916517735,116.42236992716789,4.282655246253636,1.0,-0.2400000000000002,0.0
24,2023-06-03 22:43:43,0.0,487.43,118.0,0.0,5.833,24.399999999999977,39.844139982014894,116.42236992716789,4.705882352939572,1.0,-0.45999999999999996,0.0
24,2023-06-03 22:43:44,0.0,490.83,118.0,0.0,5.03,24.799999999999955,39.84416998922825,116.42236992716789,11.76470588235235,1.0,-0.8029999999999999,0.0
24,2023-06-03 22:43:45,0.0,492.1,116.0,0.0,3.98,24.799999999999955,39.84417996369302,116.42236992716789,0.0,1.0,-1.0500000000000003,0.0
24,2023-06-03 22:43:46,0.0,492.95,114.0,0.0,2.79,24.799999999999955,39.8441899381578,116.42236992716789,0.0,1.0,-1.19,0.0
24,2023-06-03 22:43:47,0.0,494.22,114.0,0.0,1.866,24.799999999999955,39.8441999964416,116.42236992716789,0.0,1.0,-0.9239999999999999,0.0
24,2023-06-03 22:43:48,0.0,495.29,113.0,0.0,1.07,24.799999999999955,39.8441999964416,116.42236992716789,0.0,1.0,-0.796,0.0
24,2023-06-03 22:43:49,0.0,495.9,113.0,0.0,0.603,24.799999999999955,39.8441999964416,116.42236992716789,0.0,1.0,-0.4670000000000001,0.0
24,2023-06-03 22:43:50,0.0,496.33,113.0,0.0,0.27,24.799999999999955,39.8441999964416,116.42236992716789,0.0,1.0,-0.33299999999999996,0.0
24,2023-06-03 22:43:54,0.0,496.98,109.0,0.0,1.393,24.799999999999955,39.844249952584505,116.42240999266505,0.0,4.0,0.28075,0.0
24,2023-06-03 22:43:55,0.0,497.79,110.0,0.0,0.813,24.799999999999955,39.844249952584505,116.42240999266505,0.0,1.0,-0.5800000000000001,0.0
24,2023-06-03 22:43:56,0.0,498.11,109.0,0.0,0.316,24.799999999999955,39.844249952584505,116.42240999266505,0.0,1.0,-0.49699999999999994,0.0
24,2023-06-03 22:43:57,0.0,499.54,109.0,0.0,0.073,24.799999999999955,39.844249952584505,116.42240999266505,0.0,1.0,-0.243,0.0
24,2023-06-03 22:44:01,0.0,503.54,109.0,0.0,2.17,24.600000000000023,39.84431994147599,116.42251996323466,-4.999999999998295,4.0,0.52425,0.0
24,2023-06-03 22:44:02,48.0,505.88,109.0,61.0,2.586,24.600000000000023,39.84432999975979,116.42254997044802,0.0,1.0,0.4159999999999999,61.0
24,2023-06-03 22:44:03,24.0,511.1,109.0,120.0,3.196,24.600000000000023,39.84432999975979,116.42260998487473,0.0,1.0,0.6100000000000003,59.0
24,2023-06-03 22:44:04,24.0,515.66,109.0,120.0,3.816,24.399999999999977,39.84432999975979,116.42265994101763,-4.385964912281751,1.0,0.6199999999999997,0.0
24,2023-06-03 22:44:05,24.0,520.88,110.0,120.0,4.29,24.200000000000045,39.84432999975979,116.42271995544434,-3.8314176245197458,1.0,0.4740000000000002,0.0
24,2023-06-03 22:44:06,38.0,526.09,110.0,184.0,4.73,24.0,39.84432999975979,116.42277996987104,-3.8387715930910575,1.0,0.4400000000000004,64.0
24,2023-06-03 22:44:07,38.0,532.74,111.0,184.0,5.166,24.0,39.84431994147599,116.4228599332273,0.0,1.0,0.43599999999999994,0.0
24,2023-06-03 22:44:08,52.0,538.74,111.0,153.0,5.566,23.799999999999955,39.84432999975979,116.42292992211878,-3.333333333334091,1.0,0.39999999999999947,-31.0
24,2023-06-03 22:44:09,52.0,544.61,111.0,153.0,5.873,23.600000000000023,39.84432999975979,116.4229999948293,-3.4071550255524983,1.0,0.3070000000000004,0.0
24,2023-06-03 22:44:10,65.0,551.13,111.0,135.0,6.133,23.600000000000023,39.84432999975979,116.42306998372078,0.0,1.0,0.2599999999999998,-18.0
24,2023-06-03 22:44:11,65.0,558.42,110.0,135.0,6.316,23.399999999999977,39.84431994147599,116.42315992154181,-2.743484224966344,1.0,0.18299999999999983,0.0
24,2023-06-03 22:44:12,67.0,564.94,110.0,99.0,6.46,23.399999999999977,39.84431994147599,116.42322999425232,0.0,1.0,0.14400000000000013,-36.0
24,2023-06-03 22:44:13,67.0,570.81,110.0,99.0,6.48,23.200000000000045,39.84431994147599,116.4232999831438,-3.407155025552564,1.0,0.020000000000000462,0.0
24,2023-06-03 22:44:14,56.0,577.45,110.0,76.0,6.436,23.200000000000045,39.84432999975979,116.42337994650006,0.0,1.0,-0.04400000000000048,-23.0
24,2023-06-03 22:44:15,45.0,583.32,110.0,113.0,6.44,23.200000000000045,39.84432999975979,116.42344993539155,0.0,1.0,0.004000000000000448,37.0
24,2023-06-03 22:44:16,45.0,591.14,110.0,113.0,6.506,23.200000000000045,39.84432999975979,116.42353995703161,0.0,1.0,0.06599999999999984,0.0
24,2023-06-03 22:44:17,68.0,597.01,110.0,135.0,6.666,23.399999999999977,39.84432999975979,116.42360994592309,3.4071550255524983,1.0,0.16000000000000014,22.0
24,2023-06-03 22:44:18,68.0,604.94,110.0,135.0,6.706,23.399999999999977,39.84431994147599,116.42369996756315,0.0,1.0,0.040000000000000036,0.0
24,2023-06-03 22:44:19,71.0,610.81,111.0,118.0,6.79,23.600000000000023,39.84431994147599,116.42376995645463,3.4071550255545007,1.0,0.08399999999999963,-17.0
24,2023-06-03 22:44:20,72.0,618.64,111.0,110.0,6.82,23.600000000000023,39.84431994147599,116.4238599780947,0.0,1.0,0.03000000000000025,-8.0
24,2023-06-03 22:44:21,72.0,625.81,111.0,110.0,6.903,23.600000000000023,39.84431994147599,116.42393994145095,0.0,1.0,0.0829999999999993,0.0
24,2023-06-03 22:44:22,72.0,632.33,111.0,110.0,6.866,23.799999999999955,39.84431994147599,116.42401998862624,3.067484662575596,1.0,-0.03699999999999992,0.0
24,2023-06-03 22:44:23,43.0,639.5,111.0,19.0,6.823,23.799999999999955,39.84431994147599,116.4240999519825,0.0,1.0,-0.04299999999999926,-91.0
24,2023-06-03 22:44:24,43.0,645.37,110.0,19.0,6.746,23.799999999999955,39.84431994147599,116.42416994087398,0.0,1.0,-0.07699999999999996,0.0
24,2023-06-03 22:44:25,43.0,651.24,110.0,19.0,6.59,24.0,39.84431994147599,116.42423992976546,3.407155025554435,1.0,-0.15600000000000058,0.0
24,2023-06-03 22:44:26,43.0,656.46,110.0,19.0,6.14,23.799999999999955,39.84431994147599,116.42429994419217,-3.831417624521924,1.0,-0.4500000000000002,0.0
24,2023-06-03 22:44:27,23.0,662.46,110.0,156.0,5.723,23.799999999999955,39.84432999975979,116.42436993308365,0.0,1.0,-0.4169999999999998,137.0
24,2023-06-03 22:44:28,46.0,669.63,109.0,230.0,5.56,23.799999999999955,39.84432999975979,116.42444998025894,0.0,1.0,-0.16300000000000026,74.0
24,2023-06-03 22:44:29,46.0,674.2,109.0,230.0,5.8,23.600000000000023,39.84432999975979,116.42450999468565,-4.376367614878109,1.0,0.2400000000000002,0.0
24,2023-06-03 22:44:30,64.0,681.48,110.0,176.0,6.08,23.600000000000023,39.84433997422457,116.4245899580419,0.0,1.0,0.28000000000000025,-54.0
24,2023-06-03 22:44:31,66.0,688.06,110.0,238.0,6.333,23.600000000000023,39.84434994868934,116.42466992139816,0.0,1.0,0.2530000000000001,62.0
24,2023-06-03 22:44:32,70.0,695.23,111.0,242.0,6.536,23.399999999999977,39.84434994868934,116.42474996857345,-2.789400278940634,1.0,0.2029999999999994,4.0
24,2023-06-03 22:44:33,72.0,703.06,111.0,205.0,6.75,23.399999999999977,39.84434994868934,116.42483999021351,0.0,1.0,0.2140000000000004,-37.0
24,2023-06-03 22:44:34,74.0,709.58,112.0,193.0,6.88,23.399999999999977,39.84434994868934,116.42491995356977,0.0,1.0,0.1299999999999999,-12.0
24,2023-06-03 22:44:35,76.0,716.75,112.0,199.0,7.003,23.399999999999977,39.84434994868934,116.42499991692603,0.0,1.0,0.12300000000000022,6.0
24,2023-06-03 22:44:36,76.0,723.92,112.0,184.0,7.15,23.200000000000045,39.84434994868934,116.42508993856609,-2.7894002789390924,1.0,0.14700000000000024,-15.0
24,2023-06-03 22:44:37,77.0,731.75,113.0,171.0,7.293,23.200000000000045,39.84434994868934,116.42517996020615,0.0,1.0,0.1429999999999998,-13.0
24,2023-06-03 22:44:38,78.0,738.92,113.0,159.0,7.4,23.200000000000045,39.84434994868934,116.42525992356241,0.0,1.0,0.1070000000000002,-12.0
24,2023-06-03 22:44:39,79.0,746.1,113.0,180.0,7.43,23.200000000000045,39.84434994868934,116.42534994520247,0.0,1.0,0.02999999999999936,21.0
24,2023-06-03 22:44:40,78.0,753.92,113.0,166.0,7.49,23.399999999999977,39.84434994868934,116.42543996684253,2.557544757032397,1.0,0.0600000000000005,-14.0
24,2023-06-03 22:44:41,79.0,761.75,113.0,195.0,7.53,23.399999999999977,39.84434994868934,116.4255299884826,0.0,1.0,0.040000000000000036,29.0
24,2023-06-03 22:44:42,80.0,769.57,114.0,183.0,7.59,23.600000000000023,39.84434994868934,116.42561992630363,2.557544757033813,1.0,0.05999999999999961,-12.0
24,2023-06-03 22:44:43,80.0,777.4,114.0,183.0,7.626,23.600000000000023,39.84434994868934,116.42570994794369,0.0,1.0,0.036000000000000476,0.0
24,2023-06-03 22:44:44,81.0,784.57,114.0,152.0,7.656,23.600000000000023,39.84434994868934,116.42579996958375,0.0,1.0,0.02999999999999936,-31.0
24,2023-06-03 22:44:45,81.0,792.39,114.0,152.0,7.616,23.399999999999977,39.84434994868934,116.42588999122381,-2.5575447570338503,1.0,-0.040000000000000036,0.0
24,2023-06-03 22:44:46,52.0,799.57,114.0,104.0,7.583,23.399999999999977,39.84434994868934,116.42596995458007,0.0,1.0,-0.032999999999999474,-48.0
24,2023-06-03 22:44:47,58.0,807.39,114.0,132.0,7.546,23.200000000000045,39.84434994868934,116.42605997622013,-2.557544757032397,1.0,-0.03699999999999992,28.0
24,2023-06-03 22:44:48,74.0,815.87,114.0,187.0,7.586,23.200000000000045,39.84434994868934,116.42615997232497,0.0,1.0,0.040000000000000036,55.0
24,2023-06-03 22:44:49,74.0,823.04,114.0,187.0,7.643,23.200000000000045,39.84434994868934,116.42624999396503,0.0,1.0,0.056999999999999496,0.0
24,2023-06-03 22:44:50,80.0,830.87,114.0,137.0,7.7,23.200000000000045,39.84434994868934,116.42633993178606,0.0,1.0,0.057000000000000384,-50.0
24,2023-06-03 22:44:51,81.0,838.04,114.0,165.0,7.703,23.200000000000045,39.84434994868934,116.42641997896135,0.0,1.0,0.0030000000000001137,28.0
24,2023-06-03 22:44:52,83.0,845.86,114.0,152.0,7.663,23.200000000000045,39.84434994868934,116.42650991678238,0.0,1.0,-0.040000000000000036,-13.0
24,2023-06-03 22:44:53,81.0,854.34,114.0,145.0,7.68,23.200000000000045,39.84434994868934,116.42660999670625,0.0,1.0,0.01699999999999946,-7.0
24,2023-06-03 22:44:54,81.0,861.51,114.0,145.0,7.696,23.0,39.84434994868934,116.42669993452728,-2.789400278940678,1.0,0.016000000000000014,0.0
24,2023-06-03 22:44:55,82.0,868.69,114.0,154.0,7.68,22.799999999999955,39.84434994868934,116.42677998170257,-2.785515320334871,1.0,-0.016000000000000014,9.0
24,2023-06-03 22:44:56,79.0,876.51,114.0,174.0,7.616,22.799999999999955,39.84434994868934,116.4268699195236,0.0,1.0,-0.06400000000000006,20.0
24,2023-06-03 22:44:57,80.0,884.44,114.0,179.0,7.583,22.799999999999955,39.844359923154116,116.42695994116366,0.0,1.0,-0.032999999999999474,5.0
24,2023-06-03 22:44:58,80.0,891.61,114.0,179.0,7.586,22.799999999999955,39.844359923154116,116.42704996280372,0.0,1.0,0.0030000000000001137,0.0
24,2023-06-03 22:44:59,80.0,898.9,114.0,179.0,7.52,23.0,39.84434994868934,116.42712992615998,2.743484224966344,1.0,-0.06600000000000072,0.0
24,2023-06-03 22:45:00,0.0,905.42,114.0,0.0,7.353,23.200000000000045,39.84434994868934,116.42720997333527,3.0674846625773933,1.0,-0.16699999999999982,-179.0
24,2023-06-03 22:45:01,51.0,912.59,114.0,47.0,7.17,23.200000000000045,39.84434994868934,116.42728993669152,0.0,1.0,-0.18299999999999983,47.0
24,2023-06-03 22:45:02,40.0,920.42,115.0,103.0,7.093,23.200000000000045,39.84434994868934,116.42737995833158,0.0,1.0,-0.07699999999999996,56.0
24,2023-06-03 22:45:03,40.0,926.94,114.0,103.0,7.093,23.399999999999977,39.84434994868934,116.42745992168784,3.067484662575596,1.0,0.0,0.0
24,2023-06-03 22:45:04,40.0,934.11,114.0,103.0,7.08,23.399999999999977,39.84434994868934,116.42753996886313,0.0,1.0,-0.0129999999999999,0.0
24,2023-06-03 22:45:05,0.0,940.63,115.0,0.0,6.983,23.399999999999977,39.84434994868934,116.42761993221939,0.0,1.0,-0.09700000000000042,-103.0
24,2023-06-03 22:45:06,0.0,947.15,115.0,0.0,6.81,23.399999999999977,39.84434994868934,116.42769997939467,0.0,1.0,-0.17300000000000004,0.0
24,2023-06-03 22:45:07,55.0,954.44,114.0,121.0,6.713,23.399999999999977,39.844359923154116,116.42777994275093,0.0,1.0,-0.09699999999999953,121.0
24,2023-06-03 22:45:08,55.0,961.08,114.0,121.0,6.73,23.399999999999977,39.84434994868934,116.42785998992622,0.0,1.0,0.017000000000000348,0.0
24,2023-06-03 22:45:09,55.0,968.25,113.0,121.0,6.853,23.399999999999977,39.84434994868934,116.42793995328248,0.0,1.0,0.12299999999999933,0.0
24,2023-06-03 22:45:10,50.0,974.78,113.0,148.0,6.923,23.399999999999977,39.84434994868934,116.42801991663873,0.0,1.0,0.07000000000000028,27.0
24,2023-06-03 22:45:11,50.0,981.95,113.0,148.0,6.916,23.399999999999977,39.84434994868934,116.42809996381402,0.0,1.0,-0.006999999999999673,0.0
24,2023-06-03 22:45:12,50.0,988.47,112.0,148.0,6.923,23.200000000000045,39.84434994868934,116.42817992717028,-3.0674846625756493,1.0,0.006999999999999673,0.0
24,2023-06-03 22:45:13,55.0,996.29,111.0,209.0,7.016,23.200000000000045,39.84434994868934,116.42826994881034,0.0,1.0,0.09299999999999997,61.0
24,2023-06-03 22:45:14,55.0,1004.12,111.0,209.0,7.136,23.200000000000045,39.84434994868934,116.4283599704504,0.0,1.0,0.1200000000000001,0.0
24,2023-06-03 22:45:15,78.0,1010.64,111.0,204.0,7.276,23.0,39.84434994868934,116.42843993380666,-3.0674846625773933,1.0,0.13999999999999968,-5.0
24,2023-06-03 22:45:16,78.0,1019.77,111.0,204.0,7.356,22.799999999999955,39.84434994868934,116.4285399299115,-2.190580503834015,1.0,0.08000000000000007,0.0
24,2023-06-03 22:45:17,79.0,1026.94,111.0,209.0,7.463,22.600000000000023,39.84434994868934,116.42862995155156,-2.789400278939048,1.0,0.1070000000000002,5.0
24,2023-06-03 22:45:18,81.0,1034.17,112.0,240.0,7.57,22.399999999999977,39.84433997422457,116.42870999872684,-2.7662517289079527,1.0,0.1070000000000002,31.0
24,2023-06-03 22:45:19,81.0,1041.99,112.0,253.0,7.613,22.399999999999977,39.84433997422457,116.42879993654788,0.0,1.0,0.04300000000000015,13.0
24,2023-06-03 22:45:20,81.0,1049.16,112.0,253.0,7.676,22.200000000000045,39.84433997422457,116.42888995818794,-2.789400278939048,1.0,0.06299999999999972,0.0
24,2023-06-03 22:45:21,82.0,1058.29,112.0,215.0,7.706,22.200000000000045,39.84433997422457,116.42898995429277,0.0,1.0,0.03000000000000025,-38.0
24,2023-06-03 22:45:22,83.0,1065.58,112.0,220.0,7.823,22.200000000000045,39.84432999975979,116.42907997593284,0.0,1.0,0.11699999999999999,5.0
24,2023-06-03 22:45:23,83.0,1074.05,113.0,226.0,7.966,22.200000000000045,39.84432999975979,116.42917997203767,0.0,1.0,0.1429999999999998,6.0
